Area	Rooms	Rent
142.23 m²	4 Zi.	2.250 €
77.5 m²	3 Zi.	1.200 €
85.69 m²	3 Zi.	1.176 €
81 m²	2 Zi.	1.576 €
83.9 m²	3 Zi.	990 €
51.11 m²	2 Zi.	1.250 €
113 m²	4 Zi.	1.450 €
96.6 m²	3 Zi.	1.630 €
72 m²	2 Zi.	995 €
60.88 m²	2 Zi.	920,42 €
68 m²	3 Zi.	884 €
32.69 m²	1 Zi.	500 €
63.75 m²	2.5 Zi.	622,11 €
86.5 m²	3 Zi.	775 €
63.17 m²	2 Zi.	1.103 €
77.5 m²	3 Zi.	835 €
120 m²	4 Zi.	1.882 €
50.87 m²	2 Zi.	794 €
51.8 m²	2.5 Zi.	437,75 €
80 m²	2 Zi.	820 €
46.99 m²	3 Zi.	610,87 €
28 m²	1 Zi.	687 €
29 m²	1 Zi.	585 €
92 m²	4 Zi.	2.595 €
81 m²	2 Zi.	1.440 €
65.08 m²	1 Zi.	1.139 €
60.56 m²	2 Zi.	1.080 €
137 m²	4 Zi.	1.270 €
83.96 m²	3 Zi.	1.007,52 €
41.29 m²	2 Zi.	448 €
30 m²	1 Zi.	795 €
67 m²	2.5 Zi.	825 €
79.45 m²	3 Zi.	1.220,06 €
74 m²	3 Zi.	850 €
122 m²	4 Zi.	1.647 €
172 m²	6 Zi.	2.580 €
39 m²	1 Zi.	895 €
23.39 m²	1 Zi.	349 €
75.83 m²	3 Zi.	760 €
210 m²	6 Zi.	4.185 €
54.83 m²	2 Zi.	880 €
75 m²	3 Zi.	969 €
44.7 m²	1 Zi.	1.355 €
75.9 m²	3 Zi.	732,83 €
107.86 m²	3 Zi.	1.450 €
43 m²	2 Zi.	683 €
65 m²	2 Zi.	975 €
60.2 m²	2 Zi.	710 €
74.51 m²	3 Zi.	740 €
47.49 m²	2 Zi.	434 €
57.1 m²	2.5 Zi.	687,62 €
57.8 m²	2 Zi.	983 €
34.72 m²	1 Zi.	855 €
53 m²	2 Zi.	795 €
110 m²	4 Zi.	1.980 €
90.72 m²	3 Zi.	1.325,32 €
59 m²	2 Zi.	1.123,60 €
80 m²	2.5 Zi.	1.250 €
37 m²	1.5 Zi.	800 €
74.39 m²	2 Zi.	835 €
92 m²	10 Zi.	1.850 €
57 m²	2 Zi.	916,70 €
39.51 m²	1 Zi.	564 €
54.8 m²	2.5 Zi.	1.100 €
51.87 m²	2 Zi.	785,18 €
82.47 m²	2 Zi.	1.285 €
122 m²	4 Zi.	1.550 €
53.54 m²	2 Zi.	922 €
83.07 m²	4 Zi.	1.080 €
44.32 m²	1.5 Zi.	487,52 €
42.5 m²	1 Zi.	691,61 €
65.1 m²	2.5 Zi.	640 €
42.53 m²	1 Zi.	495 €
49.18 m²	2 Zi.	628,50 €
58.84 m²	2 Zi.	725 €
43 m²	2 Zi.	795 €
70.3 m²	2 Zi.	1.400 €
93 m²	3 Zi.	1.000 €
70 m²	2 Zi.	1.327,53 €
142.53 m²	5 Zi.	2.494,30 €
80.64 m²	3 Zi.	797 €
66.06 m²	2.5 Zi.	550 €
94 m²	3 Zi.	940 €
78.44 m²	3 Zi.	1.170 €
66 m²	2 Zi.	1.020 €
66 m²	2 Zi.	1.020 €
51 m²	2 Zi.	815 €
52 m²	2 Zi.	885 €
51 m²	2 Zi.	865 €
46.98 m²	1 Zi.	1.100 €
64.4 m²	2 Zi.	975,36 €
49.34 m²	1 Zi.	350,81 €
60 m²	3 Zi.	1.799 €
59.07 m²	2 Zi.	609 €
118 m²	4 Zi.	2.125 €
80 m²	2.5 Zi.	745 €
55 m²	2 Zi.	1.040 €
78.42 m²	3 Zi.	1.260 €
230 m²	7 Zi.	4.250 €
133.2 m²	4 Zi.	1.598 €
103.67 m²	3 Zi.	1.500 €
102 m²	3 Zi.	2.450 €
64.2 m²	2 Zi.	940 €
55 m²	3 Zi.	1.236 €
72 m²	2 Zi.	1.579 €
54 m²	2 Zi.	856 €
71.68 m²	2.5 Zi.	845,82 €
127.85 m²	4 Zi.	2.397,19 €
90 m²	3 Zi.	1.050 €
46.74 m²	2 Zi.	660 €
56 m²	2.5 Zi.	595 €
45.79 m²	2 Zi.	642,43 €
76.4 m²	2 Zi.	1.085 €
92.7 m²	3 Zi.	1.380 €
115 m²	3 Zi.	1.100 €
113 m²	4 Zi.	1.190 €
112.64 m²	4 Zi.	1.610 €
65.58 m²	2.5 Zi.	770 €
68 m²	2 Zi.	1.220 €
57.49 m²	2 Zi.	1.153,90 €
44.27 m²	1.5 Zi.	248,39 €
49.09 m²	2 Zi.	834,53 €
67.5 m²	3 Zi.	804 €
63.83 m²	2 Zi.	811,28 €
83 m²	3 Zi.	2.000 €
70.45 m²	2 Zi.	1.400 €
103 m²	3 Zi.	1.596,50 €
120 m²	3 Zi.	2.600 €
116.5 m²	4 Zi.	2.000 €
52.32 m²	2 Zi.	905 €
60.3 m²	3 Zi.	875 €
67.62 m²	3 Zi.	1.169,87 €
48.34 m²	2 Zi.	821,78 €
112.92 m²	4 Zi.	2.201,94 €
95 m²	3 Zi.	1.210 €
50.91 m²	2 Zi.	740 €
63.01 m²	2 Zi.	916 €
55 m²	2.5 Zi.	520 €
78 m²	2 Zi.	800 €
60 m²	3 Zi.	945 €
84.35 m²	2 Zi.	1.550 €
135 m²	5 Zi.	3.250 €
74.34 m²	2 Zi.	972,37 €
22 m²	1 Zi.	525 €
25 m²	1 Zi.	572 €
56.73 m²	2 Zi.	464,62 €
28 m²	1 Zi.	600 €
104 m²	4 Zi.	2.400 €
51.86 m²	2 Zi.	1.135 €
100.85 m²	3 Zi.	1.795 €
46.29 m²	2 Zi.	1.075 €
45.43 m²	1 Zi.	995 €
60.09 m²	2 Zi.	1.295 €
64.31 m²	2 Zi.	1.045,46 €
77.67 m²	3 Zi.	1.289,77 €
60.6 m²	2 Zi.	971,09 €
40 m²	2 Zi.	600 €
50.88 m²	2 Zi.	450 €
68.57 m²	2 Zi.	1.319,97 €
61.9 m²	2 Zi.	1.075,36 €
141 m²	3.5 Zi.	2.590 €
75 m²	4 Zi.	2.072 €
51.89 m²	2 Zi.	424,98 €
52 m²	2 Zi.	1.596 €
39.51 m²	1 Zi.	564 €
	5 Zi.	8.523 €
71 m²	3 Zi.	1.040 €
63 m²	2 Zi.	870 €
47.94 m²	1 Zi.	380 €
86 m²	3 Zi.	1.850 €
67.07 m²	2 Zi.	640 €
58.91 m²	3 Zi.	660 €
71 m²	2.5 Zi.	884 €
29 m²	1 Zi.	750 €
150 m²	3 Zi.	3.300 €
61.5 m²	3 Zi.	719 €
56.11 m²	2.5 Zi.	516 €
